Date,2330tw,0050tw,qqq
2017-09-11,187.74984741210938,82.55000305175781,140.66552734375
2017-09-12,189.48023986816406,82.8499984741211,141.0030059814453
2017-09-13,188.6150665283203,82.30000305175781,141.19586181640625
2017-09-14,189.04763793945312,82.3499984741211,140.3665313720703
2017-09-15,189.04763793945312,82.3499984741211,140.84869384765625
2017-09-18,189.91287231445312,83.1500015258789,140.66416931152344
2017-09-19,191.6432647705078,82.75,140.90576171875
2017-09-20,191.6432647705078,82.19999694824219,140.47080993652344
2017-09-21,191.210693359375,82.69999694824219,139.61073303222656
2017-09-22,189.04763793945312,81.5999984741211,139.47540283203125
2017-09-25,187.74984741210938,80.94999694824219,138.00637817382812
2017-09-26,185.1542205810547,80.30000305175781,138.364013671875
2017-09-27,186.01942443847656,80.69999694824219,139.61073303222656
2017-09-28,185.1542205810547,80.4000015258789,139.56239318847656
2017-09-29,187.3172607421875,80.6500015258789,140.56747436523438
2017-10-02,190.77806091308594,81.5,140.69309997558594
2017-10-03,192.5084686279297,81.5,140.99269104003906
2017-10-05,194.2388916015625,81.8499984741211,142.510009765625
2017-10-06,194.2388916015625,82.0999984741211,142.70330810546875
2017-10-11,201.59317016601562,83.4000015258789,143.07052612304688
2017-10-12,205.486572265625,84.19999694824219,142.80958557128906
2017-10-13,205.486572265625,84.05000305175781,143.3604278564453
2017-10-16,205.91917419433594,84.5,143.8533477783203
2017-10-17,203.7561798095703,84.30000305175781,144.03697204589844
2017-10-18,205.486572265625,84.5999984741211,143.8629913330078
2017-10-19,206.78436279296875,84.9000015258789,143.33145141601562
2017-10-20,205.486572265625,84.55000305175781,143.71807861328125
2017-10-23,206.78436279296875,84.5,142.78062438964844
2017-10-24,205.91917419433594,84.4000015258789,143.02220153808594
2017-10-25,205.91917419433594,84.3499984741211,142.4810333251953
2017-10-26,204.18878173828125,84.25,142.02679443359375
2017-10-27,206.78436279296875,84.30000305175781,146.1631317138672
2017-10-30,210.2451934814453,84.94999694824219,146.4917449951172
2017-10-31,210.2451934814453,85.19999694824219,147.04257202148438
2017-11-01,209.8126220703125,85.0999984741211,146.9942626953125
2017-11-02,208.5148162841797,84.80000305175781,146.7139892578125
2017-11-03,206.78436279296875,84.69999694824219,148.12496948242188
2017-11-06,207.2169952392578,84.8499984741211,148.6275177001953
2017-11-07,211.11041259765625,85.30000305175781,148.7145233154297
2017-11-08,209.8126220703125,84.94999694824219,149.3136749267578
2017-11-09,208.5148162841797,84.4000015258789,148.53086853027344
2017-11-10,208.0821990966797,84.55000305175781,148.52122497558594
2017-11-13,207.2169952392578,84.30000305175781,148.704833984375
2017-11-14,207.6495819091797,84.1500015258789,148.1636199951172
2017-11-15,205.486572265625,83.30000305175781,147.4677734375
2017-11-16,205.91917419433594,83.5999984741211,149.35231018066406
2017-11-17,208.94737243652344,84.3499984741211,148.7821502685547
2017-11-20,206.35179138183594,84.0,148.6661834716797
2017-11-21,210.2451934814453,84.75,150.28012084960938
2017-11-22,209.3800048828125,85.1500015258789,150.46372985839844
2017-11-24,211.11041259765625,85.1500015258789,151.01461791992188
2017-11-27,205.05398559570312,84.1500015258789,150.94696044921875
2017-11-28,202.45835876464844,83.5999984741211,151.3335418701172
2017-11-29,202.89096069335938,83.69999694824219,148.69517517089844
2017-11-30,195.5366973876953,82.25,149.9418487548828
2017-12-01,199.8627471923828,82.5999984741211,149.30404663085938
2017-12-04,202.45835876464844,82.9000015258789,147.58377075195312
2017-12-05,198.56494140625,82.25,147.6804656982422
2017-12-06,196.40191650390625,80.8499984741211,148.3472442626953
2017-12-07,195.96929931640625,80.9000015258789,148.8498077392578
2017-12-08,196.40191650390625,80.9000015258789,149.50701904296875
2017-12-11,196.83450317382812,81.5,150.66668701171875
2017-12-12,196.83450317382812,80.94999694824219,150.46372985839844
2017-12-13,196.40191650390625,81.0,150.753662109375
2017-12-14,199.4301300048828,81.75,150.6473846435547
2017-12-15,198.9975128173828,81.0999984741211,152.35794067382812
2017-12-18,196.40191650390625,81.19999694824219,153.63534545898438
2017-12-19,194.67152404785156,80.80000305175781,152.72499084472656
2017-12-20,194.2388916015625,81.05000305175781,152.560302734375
2017-12-21,194.67152404785156,81.0,152.57969665527344
2017-12-22,196.83450317382812,81.30000305175781,152.4053497314453
2017-12-26,195.5366973876953,80.6500015258789,151.5821990966797
2017-12-27,194.67152404785156,80.9000015258789,151.60162353515625
2017-12-28,195.5366973876953,81.69999694824219,151.7855987548828
2017-12-29,198.56494140625,82.1500015258789,150.84616088867188
2018-01-02,201.1605224609375,82.5999984741211,153.4900665283203
2018-01-03,205.05398559570312,83.3499984741211,154.98150634765625
2018-01-04,207.2169952392578,83.5,155.252685546875
2018-01-05,207.6495819091797,83.75,156.81187438964844
2018-01-08,209.3800048828125,84.0999984741211,157.42196655273438
2018-01-09,209.3800048828125,84.1500015258789,157.43165588378906
2018-01-10,204.62135314941406,83.75,157.0636444091797
2018-01-11,203.3235626220703,83.4000015258789,158.13861083984375
2018-01-12,205.05398559570312,84.0999984741211,159.30076599121094
2018-01-16,208.0821990966797,85.0,158.84559631347656
2018-01-17,209.3800048828125,85.1500015258789,160.5597686767578
2018-01-18,215.00384521484375,86.30000305175781,160.5888214111328
2018-01-19,221.060302734375,87.1500015258789,161.09239196777344
2018-01-22,226.25157165527344,87.94999694824219,162.81625366210938
2018-01-23,230.14495849609375,88.30000305175781,164.16241455078125
2018-01-24,223.2233428955078,87.19999694824219,163.09716796875
2018-01-25,223.2233428955078,87.44999694824219,163.0390167236328
2018-01-26,220.62767028808594,87.5,165.53762817382812
2018-01-29,223.6559295654297,85.55000305175781,164.7338104248047
2018-01-30,218.89727783203125,84.55000305175781,163.3779754638672
2018-01-31,220.62767028808594,84.6500015258789,164.05589294433594
2018-02-01,224.52114868164062,85.25,162.6613311767578
2018-02-02,224.52114868164062,84.9000015258789,159.41702270507812
